text,sentiment
What a great day!!! Looks like dream.,POS
"I feel sorry, I miss you here in the sea beach",POS
Don't angry me,NEG
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,NEG
"Those who want to go, let them go",NEG
"Its night 2 am, feeling neutral",NEU
2 am feedings for the baby are fun when he is all smiles and coos,POS
Soooo high,NEU
 Both of you,NEU
Today first time I arrive in the boat. Its amazing journey,POS
Love is something like E=MC^2 rules,NEU
I really really like the song Cardigan by Taylor Swift,POS
My Sharpie is running DANGERously low on ink,NEG
i want to go to music tonight but i lost my voice.,NEG
Always somewhere I miss you where I have been,NEU
Don't distrube me,NEG
"I don't care, who are you and what can you do",NEG
i`ve been sick for the past few days ,NEU
"I'm come back home, my past job, its really good time for me",POS
I will never fall in love until I found you,POS
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",NEU
"Playing with kids, its amazing",POS
is cleaning the house for her family who is comming later today..,NEU
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,NEG
"Follow me, I will follow you too",NEU
"Its amazing game, I playing everyday",POS
  I`m sorry.,NEG
"I'm in the village now and there hardly found internate, feeling gloomy",NEG
juss came back from Barisal,NEU
Went to sleep and there is a power cut in the village. ,NEU
How looks like our company new logo?,POS
"I buy Sophie's world book, I'm really so happy",POS
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,NEG
 That`s very funny.  Cute kids.,POS
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",NEU
My semester final exam is complete. Hurray!!!,POS
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,NEG
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",NEU
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,NEG
 romance zero is funny,POS
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",NEU
Yor are so unromantic,NEG
MAYDAY?!,NEU
 I`d rather do the early run..but I am a morning runner,NEU
 I love to! But I`m only available from 5pm.  and where dear?,POS
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,NEU
 i talk to you,NEU
"im soo bored, I don't like this music video",NEG
this concert is amazing,POS
"Its raining, I need an umbrella ",NEU
should be sleeping.  lost my voice a couple day ago.,NEG
"I'm depressed, I'm thinking about suicide, what I need to do now?",NEG
 I`ve heard this fall. I`m waiting too!,NEU
I saw an amazing nightmare yesterday night,NEU
I AM SUCH A CREEPER  I feel disappointed because of it.,NEG
"I have bad headech, what I need to do now",NEG
happy mother`s day to all moms out there. Mothers are our real hero,POS
Grabbing coffee from  then making mom breakfast,NEU
im thinking that im going to have fun tonight,POS
Yesterday was most valuable day for me,POS
" Haha I know, I cant handle the fame!  and thank you!",POS
"One suggestion for me is, be up to date",NEU
"Always love everyone, love all animals. Most important love your parents",POS
I'm playing minecraft video game. I'm addicated to it.,POS
See you in the cloud,NEU
What a great day!!! Looks like dream.,POS
"I feel sorry, I miss you here in the sea beach",POS
Don't angry me,NEG
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,NEG
"Those who want to go, let them go",NEG
"Its night 2 am, feeling neutral",NEU
2 am feedings for the baby are fun when he is all smiles and coos,POS
Soooo high,NEU
 Both of you,NEU
Today first time I arrive in the boat. Its amazing journey,POS
Love is something like E=MC^2 rules,NEU
I really really like the song Cardigan by Taylor Swift,POS
My Sharpie is running DANGERously low on ink,NEG
i want to go to music tonight but i lost my voice.,NEG
Always somewhere I miss you where I have been,NEU
Don't distrube me,NEG
"I don't care, who are you and what can you do",NEG
i`ve been sick for the past few days ,NEU
"I'm come back home, my past job, its really good time for me",POS
I will never fall in love until I found you,POS
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",NEU
"Playing with kids, its amazing",POS
is cleaning the house for her family who is comming later today..,NEU
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,NEG
"Follow me, I will follow you too",NEU
"Its amazing game, I playing everyday",POS
  I`m sorry.,NEG
"I'm in the village now and there hardly found internate, feeling gloomy",NEG
juss came back from Barisal,NEU
Went to sleep and there is a power cut in the village. ,NEU
How looks like our company new logo?,POS
"I buy Sophie's world book, I'm really so happy",POS
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,NEG
 That`s very funny.  Cute kids.,POS
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",NEU
My semester final exam is complete. Hurray!!!,POS
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,NEG
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",NEU
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,NEG
 romance zero is funny,POS
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",NEU
Yor are so unromantic,NEG
MAYDAY?!,NEU
 I`d rather do the early run..but I am a morning runner,NEU
 I love to! But I`m only available from 5pm.  and where dear?,POS
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,NEU
 i talk to you,NEU
Grabbing coffee from  then making mom breakfast,NEU
im thinking that im going to have fun tonight....and maybe some changes are coming,POS
 thanks. before the major chop.,NEU
" Haha I know, I cant handle the fame!  and thank you!",POS
just got up and updated my ipod,NEU
"I still loving you, you are my love",POS
"Lets go, its time to play cricket match",POS
"Hey everyone, do you watch cricket match between eng vs aus yesterday",NEU
Australia cricket team I love you,POS
 which means you`re just going to have to come back to vancouver and have it our way! hahah,NEU
Feeling smooth like chrome,POS
feeling gloomy,NEG
Today we will go a concert,NEU
i need coffee too.,NEU
 Sounds like me,NEU
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,NEU
Walking to class. I hate not having a bike....especially mine.,NEG
I'm start learning machine learning,NEU
failed inspection. ,NEG
Lets sing a song,POS
happy father`s day to all the father in the world.,POS
"Today, my semester final exam was really great",POS
Really great day,POS
The exception for a short dude,NEU
Congratulation for your achievement,POS
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. ",POS
 Yes i work 9 to 5 ,NEU
" Hmmm, maybe that`s what they meant. ",NEU
Done at the spa   now meeting vic for some late lunch!,NEU
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,POS
 Always have wanted to go to university,NEU
 Thanks,NEU
Really great football match,POS
  that`s why I need to be there,POS
 If only we could ever actually be allowed to stay here and do that,NEU
 Let me know how that turns out!!,NEU
 was that sass I detect?  As long as it isn`t back sass! Haha,NEU
" yeah I was thinking about that ,ahaha",POS
Today is our EEE day,NEU
I`m not sleeping at all until  accepts my appology,NEG
I'm studying in psychology,NEG
" I live for pain, bring it on",NEU
"okay, i`m out for a while  back later!",NEU
"We visited worlds longest sea beach, Its really amazing time for us",POS
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. ,POS
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,NEU
your attitude looks like autistics child,NEG
going to shower because i don`t want to smell at school tomorrow,NEU
Do you know sign languages,NEU
 Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere,NEG
may the fourth be with you! happy star wars day,POS
just got home from work,NEU
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,NEG
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,POS
 it was only once for my big brother,NEU
good news: finally finished my bachelor degree,NEU
"yesterday I'm watch a movie, that’s was really motivated for me",POS
  hope he is ok!,POS
can`t school just be done already? it hurts too much... seeing him every day,POS
 Hell Yeah!,NEU
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,NEU
 i know!!,NEU
 Smelly? Noooo. I love alex Vixon,NEU
"Went to a party last night. GREAT MINDS THINK ALIKE  Anyway, happy birthday",POS
" Happy birthday! Just woke up on this side of Earth, so wishes are bit late",POS
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",POS
HAPPY MOTHERS DAY.!,POS
" laughs I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",POS
  Thanks,POS
twittering after 2 days!,NEU
Getting ready for week  Its too nice today to be stuck inside working!,POS
I am tres depressed,NEG
Happy Mothers Day people. i love my mom a lot still,POS
 I`m sorry to hear that.,NEG
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",POS
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",POS
Is getting the hang of Twitter.,NEU
I want it BACK NOW!,NEU
Going to miss my roomie ... We will no longer be roomies starting tomorrow,NEG
"bathing with two little angels, Keyla and Janice.",NEU
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",NEG
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,NEU
"Family is here,hanging with them",NEU
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,POS
 what`s goin on hun?  I`m worried about you,NEG
 Im not bannished... but I am at work till 6,NEG
